2020-12-13 18:05:35;6410405251985;Hedelmät ja vihannekset;Pirkka Parhaat rapea pikkusalaatti 2kpl/200g Espanja 1 lk;5,00/kg
2020-12-13 18:05:35;6416075931073;Hedelmät ja vihannekset;Helmitomaatti pikari 200g Suomi 1lk;19,95/kg
2020-12-13 18:05:35;2000645500000;Hedelmät ja vihannekset;Sipuli Suomi;1,69/kg
2020-12-13 18:05:35;8436008522145;Hedelmät ja vihannekset;Avokado 800g CL/MX/CO/KE 1lk;4,36/kg
2020-12-13 18:05:35;6410405057617;Hedelmät ja vihannekset;Pirkka makea sipuli 350 g 2 lk;5,69/kg
2020-12-13 18:05:35;2000615100001;Hedelmät ja vihannekset;Valkosipuli ulkomainen kg;8,99/kg
2020-12-13 18:05:35;6410405170491;Hedelmät ja vihannekset;Pirkka Luomu babypinaatti 65g;30,62/kg
2020-12-13 18:05:35;2000168900004;Hedelmät ja vihannekset;Pirkka Luomu sitruuna;3,59/kg
2020-12-13 18:05:35;2000607000005;Hedelmät ja vihannekset;Palsternakka Suomi;3,99/kg
2020-12-13 18:05:35;6410405051295;Hedelmät ja vihannekset;Pirkka mansikka 250g 1lk ulkomainen;17,16/kg
2020-12-13 18:05:35;6410405093080;Hedelmät ja vihannekset;Pirkka suomalainen kevätsipuli 100g;25,90/kg
2020-12-13 18:05:35;7330606009941;Hedelmät ja vihannekset;Rucola 70g;24,14/kg
2020-12-13 18:05:35;8009735091408;Hedelmät ja vihannekset;Kiivi 500g Italia/Kreikka 1lk;3,30/kg
2020-12-13 18:05:35;6408640969185;Hedelmät ja vihannekset;Pirkka suomalainen viljelty herkkusieni 200g 1lk;13,75/kg
2020-12-13 18:05:35;6410402028634;Hedelmät ja vihannekset;Pirkka suomalainen naposteluporkkana 250 g;5,96/kg
2020-12-13 18:05:35;6410405091857;Hedelmät ja vihannekset;Pirkka mieto punainen chili 50g 1lk;27,80/kg
2020-12-13 18:05:35;2000600200006;Hedelmät ja vihannekset;Chilipaprika punainen ulkomainen;9,90/kg
2020-12-13 18:05:35;6410405055194;Hedelmät ja vihannekset;Pirkka Provencen salaattisekoitus 150 g;16,60/kg
2020-12-13 18:05:35;6410405057570;Hedelmät ja vihannekset;Pirkka Luomu valkosipuli 100 g 2 lk;13,90/kg
2020-12-13 18:05:35;6410405057594;Hedelmät ja vihannekset;Pirkka yksikyntinen valkosipuli 100 g ulkomainen;16,50/kg
2020-12-13 18:05:35;2000650900000;Hedelmät ja vihannekset;Pirkka suomalainen lanttu;2,89/kg
2020-12-13 18:05:35;2000646200008;Hedelmät ja vihannekset;Jumboherkkusieni ulkomainen;4,79/kg
2020-12-13 18:05:35;6410405179418;Hedelmät ja vihannekset;Avokado syöntikypsä 2kpl/320g PE/MX/CL/CO 1lk;10,28/kg
2020-12-13 18:05:35;6410405148025;Hedelmät ja vihannekset;Pirkka lehtiselleri 400g 1lk;3,48/kg
2020-12-13 18:05:35;6408641202304;Hedelmät ja vihannekset;Pirkka salaattisekoitus 175 g;11,37/kg
2020-12-13 18:05:35;6415352250043-N109;Hedelmät ja vihannekset;Hortiherttua tuore kurkku 300g;5,30/kg
2020-12-13 18:05:35;7330606009958;Hedelmät ja vihannekset;Pinaatti 70g 1lk;24,14/kg
2020-12-13 18:05:35;6410405049605;Hedelmät ja vihannekset;Pirkka tilli 50g;39,80/kg
2020-12-13 18:05:35;8436045731043;Hedelmät ja vihannekset;Bimi® makea varsiparsakaali 150g luomu Espanja 1lk;15,93/kg
2020-12-13 18:05:35;6430064550007;Hedelmät ja vihannekset;Nams Terttutomaatti 500g Suomi Extra;10,98/kg
2020-12-13 18:05:35;6410405103130;Hedelmät ja vihannekset;Pirkka perhesalaattisekoitus 300g;7,97/kg
2020-12-13 18:05:35;2000610900002;Hedelmät ja vihannekset;Punajuuri Suomi;1,99/kg
2020-12-13 18:05:35;2000504500004;Hedelmät ja vihannekset;Granaattiomena;1,99/kg
2020-12-13 18:05:35;6410405109835;Hedelmät ja vihannekset;Pirkka suomalainen salottisipuli 350g 2 lk;4,83/kg
2020-12-13 18:05:35;2000605200001;Hedelmät ja vihannekset;Lanttu Suomi;1,99/kg
2020-12-13 18:05:35;2000797300008;Hedelmät ja vihannekset;Pirkka omena Granny Smith 1 lk;2,09/kg
2020-12-13 18:05:35;2000506000007;Hedelmät ja vihannekset;Hunajameloni;1,69/kg
2020-12-13 18:05:35;2000512300009;Hedelmät ja vihannekset;Munakoiso ulkomainen;3,29/kg
2020-12-13 18:05:35;6410405097347;Hedelmät ja vihannekset;Pirkka Luomu parsakaali 300g 1lk;4,17/kg
2020-12-13 18:05:35;2000531200007;Hedelmät ja vihannekset;Kiivi vihreä;3,69/kg
2020-12-13 18:05:35;2000807800009;Hedelmät ja vihannekset;Pirkka omena Gala luomu;2,99/kg
2020-12-13 18:05:35;6416075931332;Hedelmät ja vihannekset;Tomaatti Dunne Marzano 230g Suomi 1lk;15,17/kg
2020-12-13 18:05:35;2000644900009;Hedelmät ja vihannekset;Selleri kotimainen pakattu;4,49/kg
2020-12-13 18:05:35;6415350002804;Hedelmät ja vihannekset;Punasipuli 500g Suomi 2lk;2,98/kg
2020-12-13 18:05:35;6408641206494;Hedelmät ja vihannekset;Pirkka caesarsalaatti 230g;13,00/kg
2020-12-13 18:05:35;6410405192615;Hedelmät ja vihannekset;Pirkka Parhaat Red Desire makea terttuminiluumutomaatti 250g;15,96/kg
2020-12-13 18:05:35;2000525200006;Hedelmät ja vihannekset;Omena Santana Suomi;3,49/kg
2020-12-13 18:05:35;2000641600001;Hedelmät ja vihannekset;Pirkka suomalainen kiinankaali 1lk;2,59/kg
2020-12-13 18:05:35;6410405226860;Hedelmät ja vihannekset;Pirkka pensasmustikka 500g;19,60/kg
